"iteration","model","dataset","aitchison_distance","MEC","RMSE"
48,"Dirichlet_RF","train",0.587641995571147,0.950810615652207,0.085190024968473
48,"Dirichlet_RF","train",0.587641995571147,0.950810615652207,0.0707322627879076
48,"Dirichlet_RF","train",0.587641995571147,0.950810615652207,0.0842608646358412
48,"Dirichlet_RF","test",0.568178814970595,0.921164424476617,0.0825652497941887
48,"Dirichlet_RF","test",0.568178814970595,0.921164424476617,0.118961998274573
48,"Dirichlet_RF","test",0.568178814970595,0.921164424476617,0.0970961066721122
48,"Dirichlet_regression","train",0.891861125231185,0.854934040704747,0.141747119022548
48,"Dirichlet_regression","train",0.891861125231185,0.854934040704747,0.142071451335935
48,"Dirichlet_regression","train",0.891861125231185,0.854934040704747,0.129689964190906
48,"Dirichlet_regression","test",0.814454175763016,0.82188221071865,0.129486362629275
48,"Dirichlet_regression","test",0.814454175763016,0.82188221071865,0.18210649857414
48,"Dirichlet_regression","test",0.814454175763016,0.82188221071865,0.136921064422834
48,"CLR_RF","train",0.403904070359575,0.968676460874446,0.0733940337545374
48,"CLR_RF","train",0.403904070359575,0.968676460874446,0.0589043142326394
48,"CLR_RF","train",0.403904070359575,0.968676460874446,0.0589247440601921
48,"CLR_RF","test",0.562291726845654,0.915417791220871,0.0897554002880654
48,"CLR_RF","test",0.562291726845654,0.915417791220871,0.12873868072178
48,"CLR_RF","test",0.562291726845654,0.915417791220871,0.0893458500672448
48,"ILR_RF","train",0.392133164288015,0.970862220030306,0.0694636419430916
48,"ILR_RF","train",0.392133164288015,0.970862220030306,0.0582160401498706
48,"ILR_RF","train",0.392133164288015,0.970862220030306,0.0570432932790742
48,"ILR_RF","test",0.522344235733053,0.927354281518805,0.0847601270053743
48,"ILR_RF","test",0.522344235733053,0.927354281518805,0.120455239800082
48,"ILR_RF","test",0.522344235733053,0.927354281518805,0.0794749296580134
96,"Dirichlet_RF","train",0.399588417693333,0.958702147895007,0.0819111850713535
96,"Dirichlet_RF","train",0.399588417693333,0.958702147895007,0.0645765227830325
96,"Dirichlet_RF","train",0.399588417693333,0.958702147895007,0.0715850404037452
96,"Dirichlet_RF","test",0.81866552092988,0.864952298050914,0.142972556769304
96,"Dirichlet_RF","test",0.81866552092988,0.864952298050914,0.12792505960752
96,"Dirichlet_RF","test",0.81866552092988,0.864952298050914,0.137421202761894
96,"Dirichlet_regression","train",0.681245124762526,0.877926501521726,0.119623222926391
96,"Dirichlet_regression","train",0.681245124762526,0.877926501521726,0.117618417750542
96,"Dirichlet_regression","train",0.681245124762526,0.877926501521726,0.13842989349575
96,"Dirichlet_regression","test",1.02951632512166,0.777773915326764,0.166446762128697
96,"Dirichlet_regression","test",1.02951632512166,0.777773915326764,0.173525848622079
96,"Dirichlet_regression","test",1.02951632512166,0.777773915326764,0.183916206195668
96,"CLR_RF","train",0.282539346293769,0.981001072934712,0.055354854440235
96,"CLR_RF","train",0.282539346293769,0.981001072934712,0.0416597040734902
96,"CLR_RF","train",0.282539346293769,0.981001072934712,0.050624950038627
96,"CLR_RF","test",0.794768538349697,0.876173306513052,0.136001117028329
96,"CLR_RF","test",0.794768538349697,0.876173306513052,0.13172974520124
96,"CLR_RF","test",0.794768538349697,0.876173306513052,0.123346037434672
96,"ILR_RF","train",0.28969311051662,0.980132984051362,0.0558985169018144
96,"ILR_RF","train",0.28969311051662,0.980132984051362,0.0423787110282476
96,"ILR_RF","train",0.28969311051662,0.980132984051362,0.0527103785851682
96,"ILR_RF","test",0.801072672946289,0.876136042829172,0.131955660066381
96,"ILR_RF","test",0.801072672946289,0.876136042829172,0.134338452567331
96,"ILR_RF","test",0.801072672946289,0.876136042829172,0.124978098790338
144,"Dirichlet_RF","train",0.57594579923395,0.956096143705694,0.0760177697324488
144,"Dirichlet_RF","train",0.57594579923395,0.956096143705694,0.0730895628855563
144,"Dirichlet_RF","train",0.57594579923395,0.956096143705694,0.0762449304686698
144,"Dirichlet_RF","test",1.03212334053644,0.85838793188509,0.15122507810434
144,"Dirichlet_RF","test",1.03212334053644,0.85838793188509,0.145116403419967
144,"Dirichlet_RF","test",1.03212334053644,0.85838793188509,0.126759814332742
144,"Dirichlet_regression","train",0.832032812671519,0.874888489418098,0.127607812923101
144,"Dirichlet_regression","train",0.832032812671519,0.874888489418098,0.132737319136084
